Vehicle ID: 200001, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: M2 106, Price: 70020, Year: 2020, Miles: 226648, Gross Weight: 52000, Rear Axle Type: TANDEM AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/200001_2020_FRTL_M2_106_FL-1.jpg
Vehicle ID: 200158, Vehicle Condition: Ryder Certified, Make: FREIGHTLINER/MERCEDES, Model: NEW CASCADIA PX12664, Price: 33404, Year: 2020, Miles: 618430, Gross Weight: 80000, Rear Axle Type: TANDEM AXLE, Transmission Type: Auto, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/200158_2020_FRTL_NEW_CASCADIA_PX12664_FL-1.jpg
Vehicle ID: 200176, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: NEW CASCADIA PX12664, Price: 80156, Year: 2021, Miles: nan, Gross Weight: 60600, Rear Axle Type: TANDEM AXLE, Transmission Type: MANUAL, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/200176_2021_FRTL_NEW_CASCADIA_PX12664_FL-1.jpg
Vehicle ID: 200227, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: NEW CASCADIA PX12664, Price: 58707, Year: 2020, Miles: 594857, Gross Weight: 80000, Rear Axle Type: TANDEM AXLE, Transmission Type: Auto Shift, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/200227_2020_FRTL_NEW_CASCADIA_PX12664_FL-1.jpg
Vehicle ID: 200277, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 60509, Year: 2021, Miles: 160194, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/200277_2021_FRTL_M2_106_FL-1.jpg
Vehicle ID: 200294, Vehicle Condition: Ryder Verified, Make: ISUZU, Model: NPR, Price: 37547, Year: 2019, Miles: 85038, Gross Weight: 14500, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/200294_2019_ISUZ_NPR_FL-1.jpg
Vehicle ID: 200331, Vehicle Condition: Ryder Verified, Make: NAVISTAR INTERNATIONAL, Model: RH613 DAYCAB S/A, Price: 24819, Year: 2019, Miles: 324683, Gross Weight: 65000, Rear Axle Type: SINGLE AXLE, Transmission Type: Auto, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/200331_2019_INTL_RH613_DAYCAB_S/A_FL-1.jpg
Vehicle ID: 200619, Vehicle Condition: Ryder Verified, Make: FORD MOTOR COMPANY, Model: F450, Price: 37333, Year: 2020, Miles: nan, Gross Weight: 16500, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/200619_2020_FORD_F450_FL-1.jpg
Vehicle ID: 200841, Vehicle Condition: Ryder Verified, Make: ISUZU, Model: FTR, Price: 54267, Year: 2020, Miles: 179509, Gross Weight: 25950, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/200841_2020_ISUZ_FTR_FL-1.jpg
Vehicle ID: 200897, Vehicle Condition: Ryder Verified, Make: CHEVROLET MOTOR DIV., Model: LCF 4500HD, Price: 37328, Year: 2020, Miles: 142712, Gross Weight: 14500, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/200897_2020_CHEV_LCF_4500HD_FL-1.jpg
Vehicle ID: 201404, Vehicle Condition: Ryder Verified, Make: CHEVROLET MOTOR DIV., Model: LCF 4500HD, Price: 39122, Year: 2021, Miles: 150016, Gross Weight: 14500, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/201404_2021_CHEV_LCF_4500HD_FL-1.jpg
